AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Current Season Ticket Member,General Population,Cat Lovers,0.007491,126.47,1570.34,142.76,11.000000,0.001735,227.19,461.42,52.37,8.810789,431.76,340.33,272.6,124.85,292.385
Current Season Ticket Member,NWSL Fans,Cat Lovers,0.007491,126.47,1570.34,142.76,11.000000,0.004198,37.56,489.76,50.15,9.764996,178.44,320.63,284.64,112.65,224.09
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Cat Lovers,0.007491,126.47,1570.34,142.76,11.000000,0.003426,43.57,520.07,56,9.28648,218.65,301.95,254.91,118.45,223.49
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Cat Lovers,0.007491,126.47,1570.34,142.76,11.000000,0.006156,42.85,574.98,52.87,10.875598,121.69,273.11,270.03,101.14,191.4925
Current Season Ticket Member,NWSL Fans,Combat Sports,0.007491,10.80,554.57,27.05,20.500000,0.024905,37.84,617.82,68.83,8.976454,30.08,89.76,39.3,228.38,96.88
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Combat Sports,0.007491,10.80,554.57,27.05,20.500000,0.014864,76.19,653.71,91.06,7.178996,50.40,84.83,29.71,285.56,112.625
Current Season Ticket Member,General Population,Combat Sports,0.007491,10.80,554.57,27.05,20.500000,0.004334,131.06,573.29,67.68,8.470406,172.84,96.73,39.97,242.02,137.89
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Combat Sports,0.007491,10.80,554.57,27.05,20.500000,0.006303,51,591.88,81.35,7.275823,118.85,93.7,33.25,281.76,131.89
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Daters,0.007491,56.33,212.05,53.01,4.000000,0.014685,25.55,270.72,38.26,7.07645,51.01,78.33,138.56,56.53,81.1075
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Daters,0.007491,56.33,212.05,53.01,4.000000,0.022502,25.12,289.89,37.12,7.808464,33.29,73.15,142.79,51.23,75.115
Current Season Ticket Member,General Population,Daters,0.007491,56.33,212.05,53.01,4.000000,0.010137,107.41,234.21,33.82,6.92522,73.90,90.54,156.74,57.76,94.735
Current Season Ticket Member,NWSL Fans,Daters,0.007491,56.33,212.05,53.01,4.000000,0.015830,21.41,276.07,32.54,8.483112,47.32,76.81,162.89,47.15,83.5425
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Horse Racing,0.007491,24.63,180.13,51.47,3.500000,0.004781,37.13,2595.38,52.54,49.400411,156.68,6.94,97.97,7.08,67.1675
Current Season Ticket Member,NWSL Fans,Horse Racing,0.007491,24.63,180.13,51.47,3.500000,0.015088,44.18,1341.76,92.71,14.472794,49.65,13.42,55.52,24.18,35.6925
Current Season Ticket Member,General Population,Horse Racing,0.007491,24.63,180.13,51.47,3.500000,0.004883,83.78,1910.89,94.91,20.133311,153.41,9.43,54.23,17.38,58.6125
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Horse Racing,0.007491,24.63,180.13,51.47,3.500000,0.003055,49.08,3174.42,76.03,41.753583,245.20,5.67,67.7,8.38,81.7375
Current Season Ticket Member,NWSL Fans,Inspirational,0.007491,15.21,374.58,29.97,12.500000,0.004922,38.05,165,67.08,2.459706,152.19,227.01,44.68,508.19,233.0175
Current Season Ticket Member,General Population,Inspirational,0.007491,15.21,374.58,29.97,12.500000,0.005970,68.55,219.52,66.67,3.292614,125.48,170.64,44.95,379.64,180.1775
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Inspirational,0.007491,15.21,374.58,29.97,12.500000,0.007879,37.98,225.24,65.82,3.421939,95.08,166.3,45.53,365.29,168.05
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Inspirational,0.007491,15.21,374.58,29.97,12.500000,0.007314,42.7,253.58,86.58,2.928859,102.42,147.72,34.62,426.79,177.8875
Current Season Ticket Member,NWSL Fans,Olympics Fans,0.007491,92.31,202.95,101.48,2.000000,0.020356,40.86,182.69,74.5,2.452296,36.80,111.09,136.22,81.56,91.4175
